water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
90.41095890410865,187710.6058427265,366000
180.82191780821543,236770.38470557105,366000
271.23287671232526,290652.4776623328,366000
361.64383561643314,342281.6318323267,366000
452.05479452069864,394696.3123200986,366000
542.4657534248237,446844.8026756178,366000
632.8767123287669,507033.2741194874,366000
723.2876712328799,578315.6468333222,366000
813.6986301369466,654396.5611036266,366000
904.1095890410694,778530.1109479715,366000
