water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
0.0,38618.503368932594,366000
33.91154207607746,83687.9753381829,366000
67.8230841521549,116061.3507925965,366000
107.08104051950627,140045.24821766134,366000
143.6657897412209,169151.0496913176,366000
172.8419363021707,193688.00174021831,366000
203.431063782957,226143.23928697172,366000
237.34260585903385,252648.47323190485,366000
271.25414793510936,281185.41203229,366000
305.1656900111859,309666.1792087101,366000
339.07723208726753,337060.88516427693,366000
