water_production_AF_month,electricity_cost_usd_month,fixed_cost_usd_month
0.19710283101469014,42300.34813468784,366000
33.90410958904127,58185.3035434752,366000
67.80821917808554,71566.92352044077,366000
101.71232876712928,87620.09078768377,366000
135.6164383561617,105930.95580432095,366000
169.52054794520518,125582.14093587092,366000
203.4246575342498,147370.63497064344,366000
237.32876712328905,166916.43688833248,366000
271.2328767123238,187233.4768406021,366000
305.1369863013663,210263.406436986,366000
339.04109589039723,232580.27315855227,366000
