month_index,year_frac,demand_af_month,storage_cachuma_af,storage_gibraltar_af,storage_swp_af,desal_production_af_month,release_cachuma_af_month,release_gibraltar_af_month,release_swp_af_month,desal_max_capacity_af_month,desal_cost_usd_month,jrisk_months_supply,risk_plotted_neg_jrisk,deficit_af_month,drought,case,hydrologic_scenario_index,pareto_policy_index,timeseries_slot,source
0,0.0,902.98,15000.0,2000.0,4500.0,452.0775170006834,162.1994059892934,21.626587465239123,48.65982179678803,452.0775170006834,1180581.6718043583,34.10600008982636,-34.10600008982636,0.0,pers87_sev0.83n_4,basetariff_baseline/4mpd_36vessels,0,131,midfront_secondary,run_all_cases.py
1,0.08333333333333333,807.26,14837.800594010707,2064.767412534761,4451.340178203212,452.0775170006834,8.689688394967563,1.2092213606275917,2.606906518490269,452.0775170006834,1180581.6718043583,34.85366193486547,-34.85366193486547,0.0,pers87_sev0.83n_4,basetariff_baseline/4mpd_36vessels,0,131,midfront_secondary,run_all_cases.py
2,0.16666666666666666,1001.5,14829.110905615738,2544.1781911741336,4448.733271684722,452.0775170006834,121.02464911482822,20.763771667244324,36.30739473444847,452.0775170006834,1180581.6718043583,37.80602978925955,-37.80602978925955,0.0,pers87_sev0.83n_4,basetariff_baseline/4mpd_36vessels,0,131,midfront_secondary,run_all_cases.py
3,0.25,1136.0,14708.08625650091,4550.0,4412.425876950274,452.0775170006834,231.93523524452218,71.75000893784775,69.58057057335667,452.0775170006834,1180581.6718043583,35.61076273107285,-35.61076273107285,0.0,pers87_sev0.83n_4,basetariff_baseline/4mpd_36vessels,0,131,midfront_secondary,run_all_cases.py
4,0.3333333333333333,1356.8,14476.151021256388,3477.0499910621525,4342.8453063769175,411.4216123749821,495.9400593913667,119.12064032366341,148.78201781741004,452.0775170006834,1231013.3094918472,40.03307479082553,-40.03307479082553,0.0,pers87_sev0.83n_4,basetariff_baseline/4mpd_36vessels,0,131,midfront_secondary,run_all_cases.py
5,0.4166666666666667,1331.0,13980.210961865021,4550.0,6534.663288559508,391.59565605708275,351.9682456759595,114.55159884167978,164.51783024099356,452.0775170006834,1215563.9768643482,38.85690038733133,-38.85690038733133,0.0,pers87_sev0.83n_4,basetariff_baseline/4mpd_36vessels,0,131,midfront_secondary,run_all_cases.py
6,0.5,1503.9,13628.242716189061,4330.07840115832,6370.145458318515,380.61593536814485,528.7987235494687,168.01431990066112,247.17235063489053,452.0775170006834,1207057.7497215732,37.15390034388192,-37.15390034388192,0.0,pers87_sev0.83n_4,basetariff_baseline/4mpd_36vessels,0,131,midfront_secondary,run_all_cases.py
7,0.5833333333333334,1526.9,13099.443992639592,4039.7940812576585,6122.973107683624,395.19472678155546,544.3267943086014,167.86728987531183,254.43051821252217,452.0775170006834,1218352.2548135424,35.514652939206556,-35.514652939206556,0.0,pers87_sev0.83n_4,basetariff_baseline/4mpd_36vessels,0,131,midfront_secondary,run_all_cases.py
8,0.6666666666666666,1405.5,12555.11719833099,3812.2117913823467,5868.5425894711025,398.316646133129,473.165487386693,143.67106429962394,221.16813174518123,452.0775170006834,1220770.873271903,33.97038161638062,-33.97038161638062,0.0,pers87_sev0.83n_4,basetariff_baseline/4mpd_36vessels,0,131,midfront_secondary,run_all_cases.py
9,0.75,1281.8,12081.951710944297,3539.670727082723,5647.374457725921,385.11193823457654,421.638187774041,123.52808440146747,197.08311943342966,452.0775170006834,1210540.900404538,46.01339888314587,-46.01339888314587,0.0,pers87_sev0.83n_4,basetariff_baseline/4mpd_36vessels,0,131,midfront_secondary,run_all_cases.py
