month_index,year_frac,demand_af_month,storage_cachuma_af,storage_gibraltar_af,storage_swp_af,desal_production_af_month,release_cachuma_af_month,release_gibraltar_af_month,release_swp_af_month,desal_max_capacity_af_month,desal_cost_usd_month,jrisk_months_supply,risk_plotted_neg_jrisk,deficit_af_month,drought,case,hydrologic_scenario_index,pareto_policy_index,timeseries_slot,source
0,0.0,902.98,15000.0,2000.0,4500.0,419.5444099742051,184.89692241382468,24.65292298850996,55.46907672414741,452.0547945205325,1148781.4981389123,34.052803076142744,-34.052803076142744,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
1,0.08333333333333333,807.26,14815.103077586175,2061.7410770114902,4444.530923275853,370.7575512565792,65.19460500112476,9.07279513523694,19.55838150033743,452.0547945205325,1114394.226995781,34.67056001258841,-34.67056001258841,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
2,0.16666666666666666,1001.5,14749.90847258505,2533.288281876253,4424.972541775515,335.0093011774382,200.55318250157572,34.44489354415565,60.16595475047272,452.0547945205325,1089284.3580789897,37.47509158436523,-37.47509158436523,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
3,0.25,1136.0,14549.355290083475,4550.0,4364.806587025043,305.1104374099923,322.5793123897638,100.87978759950981,96.77379371692916,452.0547945205325,1068420.9501769128,35.04518007379344,-35.04518007379344,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
4,0.3333333333333333,1356.8,14226.775977693711,3447.9202124004905,4268.0327933081135,283.76848473012757,578.0097669216261,140.0831475422616,173.40293007648782,452.0547945205325,1069658.9941840556,39.34345764392346,-39.34345764392346,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
5,0.4166666666666667,1331.0,13648.766210772084,4550.0,6435.229863231626,281.4473806421173,410.6631224399759,136.9000815346365,193.62274570781045,452.0547945205325,1068092.4694461375,37.99140586761056,-37.99140586761056,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
6,0.5,1503.9,13238.10308833211,4307.729918465364,6241.607117523816,304.6831951171729,567.6012773144246,184.69964977093719,267.61720684316543,452.0547945205325,1083774.4366482433,36.167193899174315,-36.167193899174315,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
7,0.5833333333333334,1526.9,12670.501811017684,4000.7602686944265,5973.989910680651,330.76774570300364,576.8953666832934,182.15695768367084,271.9992587103068,452.0547945205325,1102256.2687946227,34.42510833856178,-34.42510833856178,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
8,0.6666666666666666,1405.5,12093.606444334391,3758.8883110107554,5701.990651970344,334.6686083271069,505.8916020976757,157.23928494914048,238.52183377627762,452.0547945205325,1105127.7894942996,32.779239479282765,-32.779239479282765,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
9,0.75,1281.8,11587.714842236715,3472.779026061615,5463.4688181940655,319.58113236012787,456.06819313873234,136.6813109529618,215.0306929457206,452.0547945205325,1094021.5282080495,45.45233523025161,-45.45233523025161,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
10,0.8333333333333334,1019.0,19931.646649097984,3278.843715108653,5248.438125248345,296.1191426536937,366.95444224431145,60.36562296464414,96.62712362961969,452.0547945205325,1062351.023189255,44.54223343748656,-44.54223343748656,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
11,0.9166666666666666,915.54,19564.692206853673,3172.5860921440094,5151.811001618726,354.8312844682465,196.59478123162694,31.879564581397382,51.767702047217654,452.0547945205325,1103390.7130578926,46.345464499439174,-46.345464499439174,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
12,1.0,902.98,19368.097425622047,4550.0,5100.043299571508,440.79880203296466,114.11659346041233,26.808544424089188,30.049392826668395,452.0547945205325,1165542.3134219726,46.11521406186742,-46.11521406186742,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
13,1.0833333333333333,807.26,19253.980832161636,4550.0,5069.9939067448395,434.7613666673219,182.0026678861474,43.00991810995789,47.925279724633185,452.0547945205325,1160781.305030521,45.74799144638907,-45.74799144638907,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
14,1.1666666666666667,1001.5,19071.97816427549,4550.0,5022.068627020206,349.21251478690624,360.6258002241746,86.03446254429619,94.96065388708898,452.0547945205325,1099392.1041141327,44.68234333841291,-44.68234333841291,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
15,1.25,1136.0,18711.352364051316,4338.3555374557045,4927.1079731331165,251.74128415629198,484.9079490982852,112.42923788707638,127.68685960016246,452.0547945205325,1033988.7771820291,43.65047252224591,-43.65047252224591,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
16,1.3333333333333333,1356.8,18226.44441495303,4304.868299568629,4799.421113532954,145.7385602541345,620.0457697227916,146.44739904242886,163.27160091207656,452.0547945205325,987987.389030774,44.91386699629442,-44.91386699629442,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
17,1.4166666666666667,1331.0,17606.39864523024,4267.0309005262,6248.349512620877,111.14676291288367,507.6461135177155,123.0315010218716,180.1589529975578,452.0547945205325,967585.3477290228,43.373082515618144,-43.373082515618144,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
18,1.5,1503.9,17098.752531712526,3990.109399504328,6068.190559623319,71.94371112765296,848.7584962868103,198.90734978961157,219.84777146191252,452.0547945205325,944208.3305925445,41.33220122720079,-41.33220122720079,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
19,1.5833333333333333,1526.9,16249.994035425716,3780.8650497147164,5848.342788161407,49.14717655354451,758.2703038957308,176.42576877172488,272.9000794460524,452.0547945205325,930547.7241481594,39.14036725047089,-39.14036725047089,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
20,1.6666666666666667,1405.5,15491.723731529984,3439.6692809429915,5575.4427087153545,37.57684331147828,731.8249617877796,162.48907376042513,263.3824497496766,452.0547945205325,928185.6996636319,39.185411659131155,-39.185411659131155,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
21,1.75,1281.8,14759.898769742205,4463.080207182566,5312.060258965678,31.33399279866652,604.3212881184833,182.73393482276455,217.49411349907322,452.0547945205325,928185.6996636319,47.34594131674282,-47.34594131674282,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
22,1.8333333333333333,1019.0,20000.0,4550.0,5094.566145466605,36.771629591576655,539.5367887118628,122.74461943194876,137.43529290026123,452.0547945205325,917645.1550984057,46.02115917123146,-46.02115917123146,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
23,1.9166666666666667,915.54,19460.463211288137,4397.490380568051,4957.1308525663435,33.12380143288335,445.4177523761975,100.65126714313793,113.46051009228015,452.0547945205325,917645.1550984057,45.372139521837326,-45.372139521837326,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
24,2.0,902.98,19015.04545891194,4550.0,4843.670342474064,61.83977223976594,435.0563025960222,104.10210068070856,110.82115552887846,452.0547945205325,925973.5602793316,44.50030749799553,-44.50030749799553,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
25,2.0833333333333335,807.26,18579.989156315918,4550.0,4732.8491869451855,54.25542425218654,351.74211883980735,86.13711381941731,89.5986745287987,452.0547945205325,922176.2528807046,43.79543311390169,-43.79543311390169,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
26,2.1666666666666665,1001.5,18228.24703747611,4550.0,4643.250512416387,48.432138166804734,458.2546367982533,114.38612792252074,116.73042793177382,452.0547945205325,919260.6683937382,42.877112737778575,-42.877112737778575,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
27,2.25,1136.0,17769.992400677856,4550.0,4526.520084484613,43.993411285058414,631.2866333496614,161.6407096286316,160.80657551743877,452.0547945205325,917645.1550984057,39.774540391958006,-39.774540391958006,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
28,2.3333333333333335,1356.8,17138.705767328196,3399.4892903713685,4365.713508967175,41.50691032587297,789.4985210582198,156.59827547875875,201.10762186395803,452.0547945205325,928185.6996636319,40.20713894929295,-40.20713894929295,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
29,2.4166666666666665,1331.0,16349.207246269976,3314.7570148926097,5510.805887103216,48.11299382700973,674.5288830656687,136.75888458749068,227.36256772740535,452.0547945205325,929927.999989084,40.73954148485529,-40.73954148485529,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
30,2.5,1503.9,15674.678363204308,4550.0,5283.4433193758105,55.26148577226256,797.9593880204189,231.6293279749757,268.9671264749217,452.0547945205325,934211.6657724732,38.563648861367405,-38.563648861367405,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
31,2.5833333333333335,1526.9,14876.718975183889,4254.541672025025,5014.476192900889,57.2272510522082,743.5089329523915,212.6335614758569,250.61358285507478,452.0547945205325,935389.6319130757,36.44488326241432,-36.44488326241432,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
32,2.6666666666666665,1405.5,14133.210042231498,3922.0481105491685,4763.862610045814,59.261303194572555,711.5230754307057,197.4517979472779,239.8321517263718,452.0547945205325,936608.5183062627,34.40972540257574,-34.40972540257574,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
33,2.75,1281.8,13421.686966800793,3599.1363126018905,4524.030458319442,69.31545653141227,626.0098407144466,167.86971379489268,211.00831762841494,452.0547945205325,942633.3740324511,44.193193057907735,-44.193193057907735,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
34,2.8333333333333335,1019.0,20000.0,3357.523598806998,4313.022140691027,165.37692341123125,516.738205360297,86.7480359451187,111.43516603299537,452.0547945205325,981747.3894578719,43.17671311486215,-43.17671311486215,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
35,2.9166666666666665,915.54,19483.261794639704,3349.2515628618794,4201.586974658031,182.3824868599449,321.19144477802973,55.21410941039888,69.26529063640906,452.0547945205325,992003.5724629376,44.47084652099804,-44.47084652099804,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
36,3.0,902.98,19162.070349861675,4550.0,4132.321684021622,212.3290959869489,351.2122101928881,83.39472338849734,75.73930193214784,452.0547945205325,1010345.8951065938,41.840315379812445,-41.840315379812445,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
37,3.0833333333333335,807.26,18810.858139668788,3329.905276611503,4056.582382089474,203.0960561460649,183.55174094558674,32.492399132871185,39.583136133034955,452.0547945205325,1004690.6506338394,42.944776399698384,-42.944776399698384,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
38,3.1666666666666665,1001.5,18627.3063987232,4244.572877478631,4016.9992459564387,218.14888350458963,409.43643680091617,93.29758997338364,88.29542085639966,452.0547945205325,1013910.51973282,42.63764258434751,-42.63764258434751,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
39,3.25,1136.0,18217.869961922286,4550.0,3928.703825100039,217.1516662422949,500.45361063494283,124.99067855618408,107.9233751528637,452.0547945205325,1013299.7233420414,41.66599128993411,-41.66599128993411,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
40,3.3333333333333335,1356.8,17717.416351287342,4550.0,3820.7804499471754,186.78950680184988,634.376124133068,162.91378537230872,136.80391344558402,452.0547945205325,1011847.8840028268,41.9746028046564,-41.9746028046564,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
41,3.4166666666666665,1331.0,17083.040227154273,4550.0,4648.386536501592,174.54049642788755,612.6828883308598,163.18565693442693,166.71428805366105,452.0547945205325,1004703.1651482622,40.33914539359044,-40.33914539359044,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
42,3.5,1503.9,16470.357338823414,4305.3933430655725,4481.6722484479305,165.26281609046322,766.5148123775422,200.36892355652907,208.57277665489354,452.0547945205325,999318.6789639154,39.1724793957006,-39.1724793957006,0.0,pers87_sev0.83n_4,basetariff_flexible/4mpd_36vessels,0,18,midfront_secondary,run_all_cases.py
