month_index,year_frac,demand_af_month,storage_cachuma_af,storage_gibraltar_af,storage_swp_af,desal_production_af_month,release_cachuma_af_month,release_gibraltar_af_month,release_swp_af_month,desal_max_capacity_af_month,desal_cost_usd_month,jrisk_months_supply,risk_plotted_neg_jrisk,deficit_af_month,drought,case,hydrologic_scenario_index,pareto_policy_index,timeseries_slot,source
0,0.0,902.98,15000.0,2000.0,4500.0,282.56436007272157,280.4643986447784,37.395253152637125,84.13931959343353,282.56436007272157,1009118.4604613368,26.626362766415934,-26.626362766415934,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
1,0.08333333333333333,807.26,14719.535601355221,2048.9987468473632,4415.860680406567,282.56436007272157,126.47209140342359,17.605253576948524,37.941627421027086,282.56436007272157,1009118.4604613368,27.00167012225629,-27.00167012225629,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
2,0.16666666666666666,1001.5,14593.063509951797,2512.0134932704145,4377.91905298554,282.56436007272157,236.1253424120469,40.64602650688512,70.83760272361408,282.56436007272157,1009118.4604613368,29.17736884983233,-29.17736884983233,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
3,0.25,1136.0,14356.938167539749,4550.0,4307.081450261925,282.56436007272157,335.6869793544426,106.38589776168479,100.70609380633279,282.56436007272157,1009118.4604613368,27.236763789929512,-27.236763789929512,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
4,0.3333333333333333,1356.8,14021.251188185306,3442.4141022383155,4206.375356455592,267.14041907936297,587.5869667474763,144.2608532915626,176.27609002424285,282.56436007272157,943667.5511384425,30.61065073122999,-30.61065073122999,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
5,0.4166666666666667,1331.0,13433.66422143783,4550.0,6370.699266431349,267.60049723464385,416.4698272535365,141.0588862999564,197.50411944500118,282.56436007272157,943949.3985872379,29.529222730773466,-29.529222730773466,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
6,0.5,1503.9,13017.194394184293,4303.5711137000435,6173.195146986348,213.65660434294682,659.9739965002259,214.60981466023603,236.3609131012849,282.56436007272157,911464.9085580431,27.97921280258177,-27.97921280258177,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
7,0.5833333333333334,1526.9,12357.220397684066,3966.691299039807,5936.834233885063,185.3820875508737,700.1126170129729,221.3963129280598,254.92831055662097,282.56436007272157,894655.3165001839,26.42551075229625,-26.42551075229625,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
8,0.6666666666666666,1405.5,11657.107780671093,3685.579986111747,5681.905923328442,174.72788506556483,631.065323733152,196.7116852678031,233.81643421752,282.56436007272157,887838.805147542,24.929234297080775,-24.929234297080775,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
9,0.75,1281.8,11026.042456937941,3359.998300843944,5448.089489110923,172.81289367057207,530.6454802327286,161.70515567084416,262.19779894653266,282.56436007272157,886613.6021722674,34.7181082954247,-34.7181082954247,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
10,0.8333333333333334,1019.0,19295.39697670521,3141.0391451730998,5185.89169016439,174.027672810997,451.28609206187383,73.4634940421207,121.28907207951393,282.56436007272157,924487.7041492311,33.8484305590948,-33.8484305590948,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
11,0.9166666666666666,915.54,18844.110884643338,3021.6836511309793,5064.602618084876,120.11140083075023,360.33630198523304,57.78050868428554,96.84511992086883,282.56436007272157,882351.0938069979,35.194724710925755,-35.194724710925755,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
12,1.0,902.98,18483.774582658105,4550.0,4967.757498164007,146.31860432195478,307.24605474877785,75.63225481112207,82.5764177892313,282.56436007272157,902892.3559259155,34.70476242716543,-34.70476242716543,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
13,1.0833333333333333,807.26,18176.528527909326,4550.0,4885.181080374776,96.12820598425057,402.5914491676084,100.77782954539293,108.2017464211841,282.56436007272157,863527.7706844021,34.06275377381485,-34.06275377381485,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
14,1.1666666666666667,1001.5,17773.937078741717,4550.0,4776.979333953592,62.7257227650673,543.1083607510576,139.0318324223669,145.96751433919684,282.56436007272157,837875.6414155997,32.86403964378227,-32.86403964378227,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
15,1.25,1136.0,17230.82871799066,4285.358167577633,4631.011819614395,47.15153954507083,612.6092578403495,152.35773795829087,164.64679443431277,282.56436007272157,825931.2452415444,31.794842451636338,-31.794842451636338,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
16,1.3333333333333333,1356.8,16618.219460150307,4211.942429619342,4466.365025180082,33.67163881372052,684.4175775526553,173.46788814433202,183.94622470414814,282.56436007272157,798451.6528231434,32.648240566498345,-32.648240566498345,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
17,1.4166666666666667,1331.0,15933.801882597652,4147.084541475009,5894.618800475933,31.13947084717479,546.45826657962,142.2264847141502,202.15910776283474,282.56436007272157,797402.4997931062,31.335129538874863,-31.335129538874863,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
18,1.5,1503.9,15387.343616018032,3850.9680567608593,5692.459692713099,25.254619276189157,863.697791022824,216.14227039207375,234.36264737083806,282.56436007272157,794964.2295288151,29.67033454534196,-29.67033454534196,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
19,1.5833333333333333,1526.9,14523.645824995208,3624.4887863687854,5458.097045342261,19.930378421821327,810.4170642821558,202.26775995661978,224.12812543338694,282.56436007272157,792758.2370753888,27.908705005541766,-27.908705005541766,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
20,1.6666666666666667,1405.5,13713.228760713053,3257.4510264121654,5233.968919908873,15.670926497950123,775.6872936082434,184.8452402165928,219.06986769813477,282.56436007272157,790993.4185675853,27.916620366890534,-27.916620366890534,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
21,1.75,1281.8,12937.54146710481,4258.505786195572,5014.899052210739,12.41565814387685,596.1544927558543,196.2295049119107,231.08367291374864,282.56436007272157,789644.663389263,36.65885774335746,-36.65885774335746,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour8_day5_year1/baseline/3mpd_30vessels,0,29,midfront_secondary,run_all_cases.py
