month_index,year_frac,demand_af_month,storage_cachuma_af,storage_gibraltar_af,storage_swp_af,desal_production_af_month,release_cachuma_af_month,release_gibraltar_af_month,release_swp_af_month,desal_max_capacity_af_month,desal_cost_usd_month,jrisk_months_supply,risk_plotted_neg_jrisk,deficit_af_month,drought,case,hydrologic_scenario_index,pareto_policy_index,timeseries_slot,source
0,0.0,902.98,15000.0,2000.0,4500.0,339.07723208726753,241.03681370173516,32.138241826898025,72.31104411052056,339.07723208726753,1039103.85156566,28.738709858300833,-28.738709858300833,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_36vessels,0,194,midfront_primary,run_all_cases.py
1,0.08333333333333333,807.26,14758.963186298264,2054.255758173102,4427.688955889479,339.07723208726753,87.2062497476586,12.137975983239842,26.161874924297578,339.07723208726753,1039103.85156566,29.219174976260636,-29.219174976260636,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_36vessels,0,194,midfront_primary,run_all_cases.py
2,0.16666666666666666,1001.5,14671.756936550606,2522.737782189862,4401.527080965181,339.07723208726753,197.76286866601183,34.00437063233506,59.32886059980354,339.07723208726753,1039103.85156566,31.61419576862224,-31.61419576862224,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_36vessels,0,194,midfront_primary,run_all_cases.py
3,0.25,1136.0,14473.994067884594,4550.0,4342.198220365378,339.07723208726753,301.21350316315085,94.68854505290268,90.36405094894526,339.07723208726753,1039103.85156566,29.60167084038057,-29.60167084038057,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_36vessels,0,194,midfront_primary,run_all_cases.py
4,0.3333333333333333,1356.8,14172.780564721443,3454.1114549470976,4251.834169416433,339.07723208726753,541.6721312027826,132.01332686052996,162.50163936083476,339.07723208726753,1101157.3434801437,33.29846204694958,-33.29846204694958,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_36vessels,0,194,midfront_primary,run_all_cases.py
5,0.4166666666666667,1331.0,13631.10843351866,4550.0,6429.932530055597,339.07723208726753,378.59541627716845,126.37337252965065,178.58730966180994,339.07723208726753,1101157.3434801437,32.23105389519417,-32.23105389519417,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_36vessels,0,194,midfront_primary,run_all_cases.py
6,0.5,1503.9,13252.513017241492,4318.2566274703495,6251.345220393788,339.07723208726753,548.2582465788548,178.64685767705146,258.61899285314604,339.07723208726753,1101157.3434801437,30.732220922098204,-30.732220922098204,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_36vessels,0,194,midfront_primary,run_all_cases.py
7,0.5833333333333334,1526.9,12704.254770662637,4017.339769793298,5992.726227540642,339.07723208726753,572.0257406955823,180.88599441098654,269.8303616368659,339.07723208726753,1101157.3434801437,29.267668625967787,-29.267668625967787,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_36vessels,0,194,midfront_primary,run_all_cases.py
8,0.6666666666666666,1405.5,12132.229029967055,3776.7387753823114,5722.895865903776,339.07723208726753,503.21928092808133,156.65116163787505,237.37365453232033,339.07723208726753,1101157.3434801437,27.87934777563734,-27.87934777563734,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_36vessels,0,194,midfront_primary,run_all_cases.py
9,0.75,1281.8,11629.009749038974,3491.217613744436,5485.522211371456,339.07723208726753,444.87405910306455,133.5584185202833,209.8516197971638,339.07723208726753,1101157.3434801437,38.64164540290854,-38.64164540290854,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_36vessels,0,194,midfront_primary,run_all_cases.py
