month_index,year_frac,demand_af_month,storage_cachuma_af,storage_gibraltar_af,storage_swp_af,desal_production_af_month,release_cachuma_af_month,release_gibraltar_af_month,release_swp_af_month,desal_max_capacity_af_month,desal_cost_usd_month,jrisk_months_supply,risk_plotted_neg_jrisk,deficit_af_month,drought,case,hydrologic_scenario_index,pareto_policy_index,timeseries_slot,source
0,0.0,902.98,15000.0,2000.0,4500.0,649.3276807816623,24.583013293803024,3.2777351058404034,7.374903988140908,904.1095890410694,1543432.1250456534,123.80594660313932,-123.80594660313932,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
1,0.08333333333333333,807.26,14975.416986706197,2083.11626489416,4492.625096011859,618.2495019483179,0.0,0.0,0.0,904.1095890410694,1521688.655213343,126.56698678003512,-126.56698678003512,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
2,0.16666666666666666,1001.5,14975.416986706197,2563.73626489416,4492.625096011859,580.184545874752,33.97832538268002,5.816964234203299,10.193497614804004,904.1095890410694,1496418.2083507234,137.72381295571566,-137.72381295571566,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
3,0.25,1136.0,14941.438661323516,4550.0,4482.431598397055,536.8899767784917,179.77523315794227,54.74555224631767,53.932569947382675,904.1095890410694,1468049.0774455362,130.31508105027186,-130.31508105027186,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
4,0.3333333333333333,1356.8,14761.663428165573,3494.0544477536823,4428.499028449672,494.4296418935715,443.0504505981878,104.86910266075925,132.9151351794563,904.1095890410694,1475415.643935218,146.5185986100227,-146.5185986100227,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
5,0.4166666666666667,1331.0,14318.612977567385,4550.0,6636.183893270215,447.3927840436299,322.9450053533219,102.62165592852372,149.67388575243672,904.1095890410694,1448271.3448494275,142.60866339055474,-142.60866339055474,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
6,0.5,1503.9,13995.667972214063,4342.008344071476,6486.510007517778,419.945260710817,510.03750154451495,158.23375432257507,236.38481311117368,904.1095890410694,1432358.9689261348,136.70923320631215,-136.70923320631215,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
7,0.5833333333333334,1526.9,13485.630470669548,4061.504589748901,6250.125194406604,389.9376820411049,550.7540202161842,165.87211000596488,255.2555169860732,904.1095890410694,1414962.4313023044,130.7829717330216,-130.7829717330216,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
8,0.6666666666666666,1405.5,12934.876450453365,3835.917479742936,5994.869677420531,343.0540144328685,507.5319813030294,150.51174288878644,235.22359078490095,904.1095890410694,1387943.6971399288,124.91105172770531,-124.91105172770531,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
9,0.75,1281.8,12427.344469150335,3556.5357368541495,5759.64608663563,287.7454196241789,479.8759866741715,137.33393325513285,222.4059899183976,904.1095890410694,1356359.7387026313,166.01851540184427,-166.01851540184427,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
10,0.8333333333333334,1019.0,20000.0,3361.947803599017,5537.2400967172325,603.0276634293162,150.20399182263665,25.2488990199959,41.58577831036455,904.1095890410694,1511583.2275149005,164.50804529808343,-164.50804529808343,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
11,0.9166666666666666,915.54,19849.796008177364,3290.806904579021,5495.654318406868,528.6511883062295,73.76864389473849,12.229766118010948,20.423734642720042,904.1095890410694,1463130.8820982534,171.2006793653878,-171.2006793653878,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
12,1.0,902.98,19776.027364282625,4550.0,5475.230583764148,758.2123825779122,0.0,0.0,0.0,904.1095890410694,1619380.032534281,171.2006793653878,-171.2006793653878,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
13,1.0833333333333333,807.26,19776.027364282625,4550.0,5475.230583764148,904.1095890410694,0.0,0.0,0.0,904.1095890410694,1739439.4948125526,171.2006793653878,-171.2006793653878,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
14,1.1666666666666667,1001.5,19776.027364282625,4550.0,5475.230583764148,904.1095890410694,0.0,0.0,0.0,904.1095890410694,1739439.4948125526,170.4790817277117,-170.4790817277117,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
15,1.25,1136.0,19776.027364282625,4424.39,5475.230583764148,904.1095890410694,48.41821769047112,10.832361536596933,13.405164820363016,904.1095890410694,1739439.4948125526,170.51519467608526,-170.51519467608526,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
16,1.3333333333333333,1356.8,19727.609146592153,4492.499638463403,5461.825418943785,834.1015123173886,160.44374748300962,36.53729512811479,44.420777591524775,904.1095890410694,1738687.3388850878,178.93030556832554,-178.93030556832554,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
17,1.4166666666666667,1331.0,19567.165399109144,4550.0,7029.60464135226,664.4734597013191,161.77402236374138,37.617702244625335,58.11814819688474,904.1095890410694,1588222.756739859,176.5669174912894,-176.5669174912894,0.0,pers87_sev0.83n_4,basetariff_flexible/8mpd_36vessels,0,48,midfront_primary,run_all_cases.py
