month_index,year_frac,demand_af_month,storage_cachuma_af,storage_gibraltar_af,storage_swp_af,desal_production_af_month,release_cachuma_af_month,release_gibraltar_af_month,release_swp_af_month,desal_max_capacity_af_month,desal_cost_usd_month,jrisk_months_supply,risk_plotted_neg_jrisk,deficit_af_month,drought,case,hydrologic_scenario_index,pareto_policy_index,timeseries_slot,source
0,0.0,902.98,15000.0,2000.0,4500.0,276.7260315723937,284.53765106792224,37.93835347572297,85.36129532037668,282.53424657535766,841643.6412553885,26.61801718367353,-26.61801718367353,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
1,0.08333333333333333,807.26,14715.462348932078,2048.455646524277,4414.6387046796235,282.53424657535766,126.49287234847182,17.608351845370734,37.947861704541545,282.53424657535766,844290.5190698772,26.99327248716883,-26.99327248716883,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
2,0.16666666666666666,1001.5,14588.969476583607,2511.4672946789065,4376.690842975082,281.03460214181666,237.1627323829498,40.82717746805144,71.14881971488494,282.53424657535766,843607.1119338233,29.167880371933542,-29.167880371933542,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
3,0.25,1136.0,14351.806744200658,4550.0,4305.542023260197,249.39171383041545,356.17796691568657,112.92026003076141,106.85339007470596,282.53424657535766,829187.0432870777,27.185656113806544,-27.185656113806544,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
4,0.3333333333333333,1356.8,13995.628777284972,3435.879739969239,4198.688633185491,194.23999140696432,634.7631670720265,155.83222019729607,190.42895012160793,282.53424657535766,990427.0876085716,30.49054729605328,-30.49054729605328,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
5,0.4166666666666667,1331.0,13360.865610212946,4550.0,6348.8596830638835,162.05817502531033,473.9554488455878,161.4040104257178,225.21569548937632,282.53424657535766,958528.1635915968,29.276510613008636,-29.276510613008636,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
6,0.5,1503.9,12886.91016136736,4283.225989574283,6123.643987574507,120.1492539001228,714.5218703339912,233.5173945400384,256.4128093884782,282.53424657535766,917336.2557167027,27.609035748186912,-27.609035748186912,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
7,0.5833333333333334,1526.9,12172.388291033369,3927.438595034244,5867.231178186029,98.67450776028942,750.4597199838289,238.46613681435315,274.21896302468457,282.53424657535766,896475.1778538525,25.946415111936933,-25.946415111936933,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
8,0.6666666666666666,1405.5,11421.92857104954,3629.2574582198904,5593.012215161344,93.17749354469507,678.1992004485173,212.39653460324513,252.54809919951435,282.53424657535766,891160.775234289,24.347699648113398,-24.347699648113398,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
9,0.75,1281.8,10743.729370601024,3287.9909236166454,5340.4641159618295,98.12196757125665,611.9812555488749,184.9825372021654,232.27556769806108,282.53424657535766,895938.4272058723,34.04232875740617,-34.04232875740617,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
10,0.8333333333333334,1019.0,18931.74811505215,3045.75438641448,5108.188548263768,109.26507207623082,496.8199025674404,79.9287729958596,134.0525830695339,282.53424657535766,797949.2587835459,33.09128783208526,-33.09128783208526,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
11,0.9166666666666666,915.54,18434.92821248471,2919.9336134186206,4974.135965194234,84.49037110752576,385.504888018616,61.06064898589698,104.01742313012895,282.53424657535766,793064.6150785516,34.524767092662444,-34.524767092662444,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
12,1.0,902.98,18049.423324466094,4550.0,4870.118542064105,245.72604673536,240.51884231011582,60.631340560759895,64.89710239454072,282.53424657535766,827516.5519391759,34.14090869383849,-34.14090869383849,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day10_year5/flexible/3mpd_30vessels,0,8,midfront_primary,run_all_cases.py
