month_index,year_frac,demand_af_month,storage_cachuma_af,storage_gibraltar_af,storage_swp_af,desal_production_af_month,release_cachuma_af_month,release_gibraltar_af_month,release_swp_af_month,desal_max_capacity_af_month,desal_cost_usd_month,jrisk_months_supply,risk_plotted_neg_jrisk,deficit_af_month,drought,case,hydrologic_scenario_index,pareto_policy_index,timeseries_slot,source
0,0.0,902.98,15000.0,2000.0,4500.0,282.5643600727215,280.4643986447785,37.39525315263714,84.13931959343356,282.5643600727215,870076.3727405434,26.62636276641593,-26.62636276641593,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day5_year5/baseline/3mpd_30vessels,0,29,midfront_primary,run_all_cases.py
1,0.08333333333333333,807.26,14719.535601355221,2048.9987468473632,4415.860680406567,282.5643600727215,126.47209140342368,17.605253576948535,37.94162742102711,282.5643600727215,870076.3727405434,27.001670122256286,-27.001670122256286,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day5_year5/baseline/3mpd_30vessels,0,29,midfront_primary,run_all_cases.py
2,0.16666666666666666,1001.5,14593.063509951797,2512.0134932704145,4377.91905298554,282.5643600727215,236.125342412047,40.64602650688513,70.83760272361411,282.5643600727215,870076.3727405434,29.177368849832327,-29.177368849832327,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day5_year5/baseline/3mpd_30vessels,0,29,midfront_primary,run_all_cases.py
3,0.25,1136.0,14356.938167539749,4550.0,4307.081450261925,250.20770204217965,355.69827185353887,112.72787540401735,106.70948155606169,282.5643600727215,859248.5928038955,27.196095169949793,-27.196095169949793,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day5_year5/baseline/3mpd_30vessels,0,29,midfront_primary,run_all_cases.py
4,0.3333333333333333,1356.8,14001.23989568621,3436.072124595983,4200.371968705864,181.7889325021966,642.8547232824626,157.76425597252253,192.85641698473881,282.5643600727215,1083412.953091496,30.487648424802966,-30.487648424802966,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day5_year5/baseline/3mpd_30vessels,0,29,midfront_primary,run_all_cases.py
5,0.4166666666666667,1331.0,13358.385172403749,4550.0,6348.1155517211255,148.61810687589806,481.33208191150266,163.94653578500242,228.73660515770945,282.5643600727215,1034619.1084373952,29.25667316227759,-29.25667316227759,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day5_year5/baseline/3mpd_30vessels,0,29,midfront_primary,run_all_cases.py
6,0.5,1503.9,12877.053090492245,4280.683464214998,6119.378946563416,110.94507518010212,719.948856110937,235.32909057817054,258.3783062501778,282.5643600727215,978533.2182282573,27.577566584445073,-27.577566584445073,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day5_year5/baseline/3mpd_30vessels,0,29,midfront_primary,run_all_cases.py
7,0.5833333333333334,1526.9,12157.104234381308,3923.084373636827,5861.000640313238,91.39088922471802,805.5492170642482,252.56115836954612,212.31806288466808,282.5643600727215,949486.2392002363,25.90572834350379,-25.90572834350379,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day5_year5/baseline/3mpd_30vessels,0,29,midfront_primary,run_all_cases.py
8,0.6666666666666666,1405.5,11351.55501731706,3610.8082152672805,5648.68257742857,82.11181019587059,681.8504787971631,213.74577021614743,258.61326852419626,282.5643600727215,935889.6239870174,24.293044070671165,-24.293044070671165,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day5_year5/baseline/3mpd_30vessels,0,29,midfront_primary,run_all_cases.py
9,0.75,1281.8,10669.704538519896,3268.1924450511333,5390.069308904373,78.20957233396399,621.1340531765919,187.89403318685817,240.1236692077652,282.5643600727215,930171.6829592657,33.963012509851076,-33.963012509851076,0.0,pers87_sev0.83n_4,supply_curve_tariff_sensitivity/hour2_day5_year5/baseline/3mpd_30vessels,0,29,midfront_primary,run_all_cases.py
