case,case_label,fraction,cost_mean,cost_p10,cost_p50,cost_p90,risk_months_mean,risk_months_p10,risk_months_p50,risk_months_p90
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,1231600028.430703,1231591528.4307032,1231591528.4307032,1231598528.4307032,29.905570630133163,27.771058004038057,29.88297577577027,32.161419572664094
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,1179537438.1095777,1179525438.1095777,1179525438.1095777,1179537438.1095777,28.18823200966052,25.376435070111015,28.14318678243606,31.02331140950796
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,1122806995.544059,1122789495.5440588,1122789495.5440588,1122812495.5440588,26.105240958154212,22.97212522458692,26.113422578641803,29.382501605089352
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,1074968304.873668,1074936304.8736677,1074946304.8736677,1074980304.8736677,23.870330839376578,20.636033992493637,23.747467799782065,27.78427434906801
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,1025644280.5362946,1025565280.5362949,1025635280.5362949,1025721280.5362949,21.500443077827704,18.134048692716163,21.22081982374244,25.98849181364803
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.01,1016992144.8307772,1016846644.8307773,1017002644.8307773,1017121644.8307773,19.3073202489685,15.897170076081954,19.078234265767012,23.701707665677468
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,1284159717.027482,1284156717.0274823,1284156717.0274823,1284158717.0274823,33.878710197812794,31.89994224782885,33.87336751723005,35.941885691703064
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,1226217086.6559474,1226208086.6559472,1226208086.6559472,1226215086.6559472,31.819831660766607,29.444218179209024,31.772982317388482,34.40963828183581
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,1163091907.7764995,1163077907.7764993,1163077907.7764993,1163090907.7764993,29.495743476739392,26.305103824262886,29.40880797800067,32.81016098270799
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,1110442671.7689738,1110418171.7689738,1110418171.7689738,1110451171.7689738,26.685783441297854,23.085305769175832,26.4814189625677,30.86792876148849
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,1055712178.0194817,1055644678.0194817,1055694678.0194817,1055764678.0194817,23.66737285155257,20.03328815161969,23.411850182809232,28.480237729975265
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.01,1046090734.8805698,1045945734.8805698,1046106734.8805698,1046220734.8805698,20.806105319305757,17.132008290807242,20.56764170643651,25.542829501716156
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,1401216536.0802999,1401216536.0802999,1401216536.0802999,1401216536.0802999,36.79575773530182,34.95991780606276,36.88363859821287,38.52732307553396
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,1332809159.4006276,1332803159.4006276,1332803159.4006276,1332808159.4006276,34.52338664471336,32.16902540262,34.47489744573073,36.93648908105684
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,1257206149.0418458,1257194149.0418456,1257194149.0418456,1257206149.0418456,31.972025548420152,28.78258982523417,31.92074474164628,35.187734669493274
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.4,1188211994.7839904,1188190494.7839909,1188190494.7839909,1188223494.7839909,28.769481295398997,24.901880123868242,28.61621275036655,32.87251282829448
