month_index,year_frac,demand_af_month,storage_cachuma_af,storage_gibraltar_af,storage_swp_af,desal_production_af_month,release_cachuma_af_month,release_gibraltar_af_month,release_swp_af_month,desal_max_capacity_af_month,desal_cost_usd_month,jrisk_months_supply,risk_plotted_neg_jrisk,deficit_af_month,drought,case,hydrologic_scenario_index,pareto_policy_index,timeseries_slot,source
0,0.0,902.98,15000.0,2000.0,4500.0,282.5643600727215,280.4643986447785,37.39525315263714,84.13931959343356,282.5643600727215,998671.1774432366,26.62636276641593,-26.62636276641593,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
1,0.08333333333333333,807.26,14719.535601355221,2048.9987468473632,4415.860680406567,282.5643600727215,126.47209140342368,17.605253576948535,37.94162742102711,282.5643600727215,998671.1774432366,27.001670122256286,-27.001670122256286,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
2,0.16666666666666666,1001.5,14593.063509951797,2512.0134932704145,4377.91905298554,282.5643600727215,236.125342412047,40.64602650688513,70.83760272361411,282.5643600727215,998671.1774432366,29.177368849832327,-29.177368849832327,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
3,0.25,1136.0,14356.938167539749,4550.0,4307.081450261925,282.5643600727215,335.68697935444266,106.3858977616848,100.70609380633282,282.5643600727215,998671.1774432366,27.23676378992951,-27.23676378992951,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
4,0.3333333333333333,1356.8,14021.251188185306,3442.4141022383155,4206.375356455592,282.5643600727215,577.6071539032954,141.81066906681556,173.28214617098863,282.5643600727215,1053981.369941269,30.626957260248286,-30.626957260248286,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
5,0.4166666666666667,1331.0,13443.644034282011,4550.0,6373.693210284604,282.5643600727215,408.30164152304053,138.18965037994278,193.5776783204933,282.5643600727215,1053981.369941269,29.564337124642112,-29.564337124642112,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
6,0.5,1503.9,13035.34239275897,4306.4403496200575,6180.115531964111,282.5643600727215,577.475019923668,190.7783970506492,273.7835518562228,282.5643600727215,1053981.369941269,28.100936367543245,-28.100936367543245,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
7,0.5833333333333334,1526.9,12457.867372835302,3993.3919525694077,5906.331980107889,261.5383799842827,657.0984862665831,207.52903746992754,235.65342469125423,282.5643600727215,1036449.9321868261,26.642954070257968,-26.642954070257968,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
8,0.6666666666666666,1405.5,11800.76888656872,3726.14791509948,5670.6785554166345,253.67223525405262,547.0438817697634,172.7316617347144,262.8735499391399,282.5643600727215,1029891.1498553765,25.24590163784916,-25.24590163784916,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
9,0.75,1281.8,11253.725004798956,3424.546253364766,5407.805005477495,271.4893295997481,479.52362596604127,145.9206472524988,230.4277262540237,282.5643600727215,1044747.0224079404,35.15880063484473,-35.15880063484473,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
10,0.8333333333333334,1019.0,19574.201378832917,3221.3716061122673,5177.377279223471,282.5643600727215,376.1194914784587,61.89885487048836,99.48362499015855,282.5643600727215,998671.1774432366,34.425541106043596,-34.425541106043596,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
11,0.9166666666666666,915.54,19198.08188735446,3113.580751241779,5077.893654233313,174.66712585055745,322.71118034663095,52.33790152752841,85.35712392766105,282.5643600727215,921623.8642448699,35.718060682932034,-35.718060682932034,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
12,1.0,902.98,18875.370707007827,4550.0,4992.536530305652,117.97675585018574,327.9831038652144,79.06192390874067,86.75154797156783,282.5643600727215,885800.9656985726,35.196786637735265,-35.196786637735265,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
13,1.0833333333333333,807.26,18547.38760314261,4550.0,4905.784982334085,86.07402144859026,411.72205300478504,101.0026523009828,108.90050435913685,282.5643600727215,867397.3410863138,34.5424236003188,-34.5424236003188,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
14,1.1666666666666667,1001.5,18135.665550137826,4550.0,4796.884477974948,72.72715757055727,539.8662690521356,135.44534758850077,142.79465614531887,282.5643600727215,858730.2385191029,33.356280130380945,-33.356280130380945,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
15,1.25,1136.0,17595.799281085692,4288.944652411499,4654.089821829629,65.85604625140029,603.9518189136036,147.21217733076296,159.74528740520273,282.5643600727215,854268.3194422274,32.31059236472482,-32.31059236472482,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
16,1.3333333333333333,1356.8,16991.84746217209,4220.674475080737,4494.3445344244265,58.1499229220103,672.4551168704293,167.03387631809883,177.86441326527867,282.5643600727215,862540.9264818858,33.1947568841691,-33.1947568841691,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
17,1.4166666666666667,1331.0,16319.39234530166,4162.250598762637,5928.680121159147,56.19073184927094,534.9881205498789,136.44837858994867,194.35609906599933,282.5643600727215,860785.767742507,31.913132427593226,-31.913132427593226,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
18,1.5,1503.9,15784.404224751781,3871.9122201726886,5734.324022093148,51.660205697353476,852.0868201263949,209.25889449237937,226.45140794526938,282.5643600727215,856727.0556137282,30.28152623727368,-30.28152623727368,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
19,1.5833333333333333,1526.9,14932.317404625386,3652.316325680309,5507.872614147879,47.10685692369151,798.107197290877,195.47184963177472,216.05742446619035,282.5643600727215,852647.8976363707,28.5540544238805,-28.5540544238805,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
20,1.6666666666666667,1405.5,14134.210207334509,3292.0744760485345,5291.815189681689,43.01973064188617,716.881898218109,166.97279613404902,268.3989032673263,282.5643600727215,852641.1850291903,28.596344105240696,-28.596344105240696,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
21,1.75,1281.8,13417.3283091164,4311.001679914486,5023.416286414363,39.52570842164804,587.5793948353522,188.78987678174767,219.98834891532778,282.5643600727215,852641.1850291903,36.75884058610338,-36.75884058610338,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
22,1.8333333333333333,1019.0,20000.0,4442.541803132738,4803.427937499035,43.000913518645795,542.6302660767201,120.53288203454349,130.3242689902726,282.5643600727215,842088.2230221052,35.724106411420955,-35.724106411420955,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,88,midfront_primary,run_all_cases.py
