case,case_label,fraction,scenario,cost,risk_months
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,0,1461716769.7794476,42.69478510048003
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,1,1461716769.7794476,44.25009094217883
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,2,1461716769.7794476,43.742073530512094
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,3,1461716769.7794476,41.85106220265482
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,4,1461716769.7794476,44.52346652896652
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,5,1461716769.7794476,43.64935001594358
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,6,1461716769.7794476,44.35422549945122
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,7,1461716769.7794476,43.069521984633475
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,8,1461716769.7794476,42.86413053002569
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,9,1461716769.7794476,42.75712722897365
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,10,1461716769.7794476,44.14871402560511
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,11,1461716769.7794476,43.090191629279886
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,12,1461716769.7794476,40.74533479526137
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,13,1461716769.7794476,43.68869499947884
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,14,1461716769.7794476,43.2561197061544
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,15,1461716769.7794476,44.74574415430018
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,16,1461716769.7794476,42.97149677331198
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,17,1461716769.7794476,44.60795915739167
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,18,1461716769.7794476,42.7225556844746
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,19,1461716769.7794476,43.271134285779674
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,0,1383236733.6091895,40.33288063954521
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,1,1383236733.6091895,42.24830987294041
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,2,1383236733.6091895,41.66783009870116
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,3,1383236733.6091895,38.39596612772797
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,4,1383236733.6091895,42.834640766335056
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,5,1383236733.6091895,41.31919791900825
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,6,1383236733.6091895,42.52799665829862
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,7,1383236733.6091895,40.22588000685168
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,8,1383256733.6091895,39.823343933423914
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,9,1383236733.6091895,38.33474874381075
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,10,1383236733.6091895,41.80079089650075
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,11,1383236733.6091895,40.51391989575882
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,12,1383236733.6091895,36.097575013755744
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,13,1383236733.6091895,41.2532078244693
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,14,1383236733.6091895,39.9637838854331
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,15,1383236733.6091895,43.09262123497756
