case,case_label,fraction,scenario,cost,risk_months
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,0,1225510689.383141,29.88699848087478
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,1,1225510689.383141,31.762638346995352
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,2,1225510689.383141,31.248320044292512
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,3,1225510689.383141,27.83477630030906
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,4,1225510689.383141,32.504408964725414
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,5,1225510689.383141,30.56122910338607
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,6,1225580689.383141,31.9966341274335
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,7,1225510689.383141,29.15773457320971
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,8,1225610689.383141,28.156259916936406
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,9,1225510689.383141,27.19759333759903
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,10,1225510689.383141,30.954573018279323
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,11,1225510689.383141,29.36821863519475
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,12,1225510689.383141,25.41718779204676
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,13,1225510689.383141,29.63734957998626
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,14,1225510689.383141,28.98593453062425
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,15,1225510689.383141,32.130893581230694
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,16,1225510689.383141,29.87895307066576
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,17,1225510689.383141,32.436153495564675
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,18,1225510689.383141,28.397600543825945
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,19,1225510689.383141,30.597955159483078
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,0,1174781312.1145992,28.0294639888429
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,1,1174781312.1145992,30.56276647366459
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,2,1174781312.1145992,29.333578314882544
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,3,1174781312.1145992,26.004796167883026
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,4,1174781312.1145992,31.440426482994255
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,5,1174781312.1145992,28.859779904301767
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,6,1174901312.1145992,30.880426613280257
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,7,1174781312.1145992,27.21116712982127
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,8,1174901312.1145992,25.4314206932971
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,9,1174781312.1145992,24.88156446143624
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,10,1174781312.1145992,29.05677143030349
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,11,1174781312.1145992,27.555710570991085
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,12,1174781312.1145992,23.355664402141915
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,13,1174781312.1145992,27.814921371018194
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,14,1174781312.1145992,27.3113486235659
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,15,1174781312.1145992,30.977689987306427
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,16,1174781312.1145992,28.256909576029223
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,17,1174781312.1145992,31.433904209321785
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,18,1174781312.1145992,26.446488329887913
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,19,1174781312.1145992,28.919841462240615
