case,case_label,fraction,cost_mean,cost_p10,cost_p50,cost_p90,risk_months_mean,risk_months_p10,risk_months_p50,risk_months_p90
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,1461716769.779448,1461716769.7794476,1461716769.7794476,1461716769.7794476,43.35018893874288,42.61041281069751,43.26362699596704,44.53191579180904
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,1383237733.6091893,1383236733.6091895,1383236733.6091895,1383236733.6091895,40.73308945097862,38.38984438933625,40.85118000401485,42.85399373078699
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,1302842928.3437274,1302833928.3437274,1302833928.3437274,1302840928.3437274,37.56211430444241,34.75749269845143,37.506663863844395,40.61956478592835
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,1223988174.7247665,1223972174.7247667,1223972174.7247667,1223986174.7247667,33.73438083146729,29.81153813830878,33.700499718297486,37.77069431786105
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,1153979563.589595,1153930563.5895948,1153955563.5895948,1154021563.5895948,29.118242769791703,24.93748274751826,28.786016819922658,34.49205148013518
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.01,1070283359.3893982,1070140359.3893986,1070291359.3893986,1070407359.3893986,24.618960116280242,20.26964970882991,24.328023538246747,30.211583429452325
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,1422003163.1524053,1422003163.1524053,1422003163.1524053,1422003163.1524053,43.348002350570866,42.608354173945415,43.26138798577654,44.52999046336193
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,1318774717.3419907,1318773717.3419905,1318773717.3419905,1318773717.3419905,40.73095707076294,38.38798097589493,40.849117691531106,42.85201026931237
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,1251540246.2667801,1251531246.26678,1251531246.26678,1251538246.26678,37.56020515209296,34.75545903345433,37.504626727570844,40.617751177148534
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,1188762746.2728639,1188746746.2728634,1188746746.2728634,1188760746.2728634,33.732702365279394,29.809818065213094,33.69885333728107,37.769118842068806
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.2,1130121627.8220787,1130072627.8220787,1130097627.8220787,1130163627.8220787,29.116895628110996,24.936264188197672,28.78473367322521,34.49036474472091
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.01,1077827723.8387287,1077684723.8387284,1077835723.8387284,1077951723.8387284,24.618053949956447,20.268904934112317,24.327132411511638,30.21047609405923
