case,case_label,fraction,cost_mean,cost_p10,cost_p50,cost_p90,risk_months_mean,risk_months_p10,risk_months_p50,risk_months_p90
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,1.0,1206749270.3594096,1206738770.3594096,1206738770.3594096,1206747770.3594096,27.80306024470898,25.44593219677796,27.75756900212359,30.322351257780706
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.8,1179231424.1040764,1179217424.1040764,1179217424.1040764,1179230424.1040764,26.217565192108605,23.346605970108783,26.141697497070314,29.207896443825735
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.6,1151742312.3999302,1151720812.3999305,1151720812.3999305,1151753812.3999305,24.354405294804174,21.065968110399204,24.221820808460897,27.843479584184145
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.4,1124097451.7991643,1124055451.7991643,1124075451.7991643,1124128451.7991643,22.426815934754593,19.37521024341568,22.225169934835467,26.217174008652076
basetariff_baseline/3mpd_30vessels,baseline_3mpd_30vessels,0.2,1096468270.5788379,1096382770.5788379,1096462770.5788379,1096538770.5788379,20.402876786796448,17.14329603865986,20.138758276014684,24.76966263963029
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,1.0,1241018684.0582824,1241009184.0582829,1241009184.0582829,1241017184.0582829,28.60176215152503,26.275265372574452,28.53539342189748,31.015261174626225
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.8,1216893606.1261897,1216880106.1261897,1216880106.1261897,1216893106.1261897,26.979828125259246,24.197190464791614,26.908045173362517,29.915692143484304
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,1192191456.480011,1192172956.480011,1192172956.480011,1192195956.480011,25.025434664008895,21.848895783734623,24.92881594432169,28.442902437303065
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,1166189247.780326,1166151747.7803257,1166171747.7803257,1166223747.7803257,22.982643212147075,19.920901605042893,22.8050643775631,26.844630835355776
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,1138156735.5948796,1138074235.5948796,1138144235.5948796,1138230235.5948796,20.821306072300324,17.569158253616763,20.544443249432206,25.23952913540076
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,1.0,1344501874.8888466,1344494374.8888464,1344494374.8888464,1344501374.8888464,30.53680638784503,28.373204148074205,30.503678781204812,32.74236185856696
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.8,1309923203.2044206,1309912203.20442,1309912203.20442,1309922203.20442,28.772816497409387,26.011068852494617,28.754903747228067,31.56631838399814
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.6,1277345419.5933852,1277327919.5933857,1277327919.5933857,1277350919.5933857,26.646626400069447,23.535804197246186,26.635073334735864,29.897864269479165
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.4,1248770412.1291325,1248739412.1291327,1248744412.1291327,1248783412.1291327,24.31050238001719,21.043110677322748,24.15712637507352,28.258517907212276
basetariff_baseline/4mpd_30vessels,baseline_4mpd_30vessels,0.2,1213887192.383757,1213810192.3837566,1213880192.3837566,1213948192.3837566,21.836800923578185,18.432892134129816,21.551650432848636,26.400398539057942
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,1.0,1446164841.0365033,1446164841.0365036,1446164841.0365036,1446164841.0365036,41.61611374076582,40.60345918431828,41.609500307381765,42.92227164857287
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.8,1404914835.0986512,1404912835.098651,1404912835.098651,1404913835.098651,39.0556203069366,36.75400345253849,39.11037698846392,41.30581486374273
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.6,1362652229.8410811,1362642729.8410816,1362642729.8410816,1362650729.8410816,36.03584678574733,33.087416229856544,35.9740501227686,39.14099677278427
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.4,1324873594.3234262,1324856094.3234265,1324856094.3234265,1324879094.3234265,32.39083705483755,28.570345733989058,32.395570846786114,36.36464810397283
basetariff_baseline/4mpd_36vessels,baseline_4mpd_36vessels,0.2,1287065387.318353,1287013887.3183532,1287038887.3183532,1287104887.3183532,28.05546131142453,23.998343969072952,27.751269486587564,33.246891803687944
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,1.0,1799937766.908146,1799937766.908146,1799937766.908146,1799937766.908146,68.7034493978379,68.25408593991776,68.67025610492887,69.15593849072765
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.8,1740900806.4770875,1740900806.477087,1740900806.477087,1740900806.477087,65.49477059866922,64.54515826429824,65.3454858628788,66.64608330810724
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.6,1682206042.6135533,1682206042.6135535,1682206042.6135535,1682206042.6135535,60.823846799561956,58.297401882129925,60.86305577883928,63.5112215504019
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.4,1622814608.4358227,1622805108.435823,1622805108.435823,1622813108.435823,54.2507181767882,49.81158743133053,54.15781297478435,58.92578977988923
basetariff_baseline/6mpd_36vessels,baseline_6mpd_36vessels,0.2,1561728050.6927643,1561702050.6927643,1561702050.6927643,1561736050.6927643,45.62669849654337,39.58710553207607,45.17982787545497,53.017039938896474
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,1.0,2154045312.423103,2154045312.423103,2154045312.423103,2154045312.423103,145.41224711138682,145.13708935396812,145.43379238586397,145.69477393583347
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.8,2075111274.6385407,2075111274.6385405,2075111274.6385405,2075111274.6385405,140.69573290938305,139.76519555815776,140.61694955509734,141.61982317157015
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.6,1995992046.1221366,1995992046.1221366,1995992046.1221366,1995992046.1221366,132.4409038940318,130.52056952112545,132.13914658285313,134.76919269437528
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.4,1916078125.7104385,1916076125.7104383,1916076125.7104383,1916077125.7104383,118.89672388666527,111.89061072094125,119.06302979496431,125.74790205617859
basetariff_baseline/8mpd_36vessels,baseline_8mpd_36vessels,0.2,1834219426.4565272,1834201926.4565272,1834201926.4565272,1834224926.4565272,98.6071962433989,86.97609605199649,98.62115068699379,110.70369237925807
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,1.0,1221912843.3550334,1221905343.3550334,1221905343.3550334,1221912343.3550334,30.536782343019325,28.37318301458807,30.503648828739156,32.74234236322782
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.8,1144588035.8919683,1144577035.8919685,1144577035.8919685,1144587035.8919685,28.772793614448336,26.01104007637324,28.75487877560726,31.566298340737806
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.6,1090881981.9583244,1090864481.9583244,1090864481.9583244,1090887481.9583244,26.646605716075936,23.535782908031,26.63505295971919,29.89784487789964
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.4,1046524174.1244293,1046493174.1244297,1046498174.1244297,1046537174.1244297,24.310485696260795,21.043094880242386,24.157108855876892,28.25850178563367
basetariff_flexible/3mpd_30vessels,flexible_3mpd_30vessels,0.2,1004727623.1534694,1004650623.1534696,1004720623.1534696,1004788623.1534696,21.836788174390037,18.432880560915446,21.551637796086176,26.400382530321703
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,1.0,1276446780.2381241,1276444780.238124,1276444780.238124,1276445780.238124,34.72511490684405,32.707242016032936,34.798022407768045,36.68294144998328
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.8,1190192684.340603,1190184184.340603,1190184184.340603,1190191184.340603,32.61535529174363,30.201476013702898,32.5879299914359,35.11562728904564
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.6,1129382302.7077937,1129368802.7077937,1129368802.7077937,1129381802.7077937,30.225147240144004,27.107281660328415,30.144775203506942,33.51446895596997
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.4,1079168907.136394,1079145407.136394,1079145407.136394,1079178407.136394,27.27721675373026,23.548930771605118,27.076736035232475,31.420830055017774
basetariff_flexible/3mpd_36vessels,flexible_3mpd_36vessels,0.2,1032190704.3175166,1032124704.3175166,1032169704.3175166,1032235704.3175166,24.13683496486639,20.43673382713626,23.863390112052727,28.983395055742147
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,1.0,1381106509.732341,1381106509.7323408,1381106509.7323408,1381106509.7323408,37.810792700167106,36.22498473127675,37.83311668771367,39.49129052903814
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.8,1282121942.1577942,1282116942.157794,1282116942.157794,1282119942.157794,35.49249674876445,33.254182883140444,35.417328245100904,37.880946741838876
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.6,1212519880.573318,1212508880.573318,1212508880.573318,1212518880.573318,32.8373055038485,29.685420223908544,32.816859973116735,36.02542721885513
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.4,1154221898.5234616,1154202898.5234618,1154202898.5234618,1154225898.5234618,29.53164637956744,25.718067660959125,29.423587825677103,33.62290448901438
basetariff_flexible/4mpd_30vessels,flexible_4mpd_30vessels,0.2,1098690664.4290576,1098630664.4290576,1098670664.4290576,1098731664.4290576,25.857249203874005,21.97957115649347,25.559102024775925,30.828940257399964
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,1.0,1393477576.9020274,1393477576.9020274,1393477576.9020274,1393477576.9020274,41.613917734188234,40.60086781591727,41.607672345099544,42.9204168759529
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,1310849964.8676226,1310847964.8676226,1310847964.8676226,1310848964.8676226,39.05357425100957,36.75235231530182,39.10817066789466,41.30402553699786
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,1244360264.3432631,1244350764.3432636,1244350764.3432636,1244358764.3432636,36.03385702872421,33.085135857055484,35.97221974733125,39.13929532789677
