case_number,ro_capacity,scenario,summer_winter_split
1.0,3125.0,flat,1.0
2.0,3125.0,flat,0.5
3.0,3125.0,flat,0.1
4.0,3125.0,peaky,1.0
5.0,3125.0,peaky,0.5
6.0,3125.0,peaky,0.1
7.0,3125.0,neg,1.0
8.0,3125.0,neg,0.5
9.0,3125.0,neg,0.1
10.0,4250.0,flat,1.0
11.0,4250.0,flat,0.5
12.0,4250.0,flat,0.1
13.0,4250.0,peaky,1.0
14.0,4250.0,peaky,0.5
15.0,4250.0,peaky,0.1
16.0,4250.0,neg,1.0
17.0,4250.0,neg,0.5
18.0,4250.0,neg,0.1
19.0,5055.0,flat,1.0
20.0,5055.0,flat,0.5
21.0,5055.0,flat,0.1
22.0,5055.0,peaky,1.0
23.0,5055.0,peaky,0.5
24.0,5055.0,peaky,0.1
25.0,5055.0,neg,1.0
26.0,5055.0,neg,0.5
27.0,5055.0,neg,0.1
28.0,7500.0,flat,1.0
29.0,7500.0,flat,0.5
30.0,7500.0,flat,0.1
31.0,7500.0,peaky,1.0
32.0,7500.0,peaky,0.5
33.0,7500.0,peaky,0.1
34.0,7500.0,neg,1.0
35.0,7500.0,neg,0.5
36.0,7500.0,neg,0.1
37.0,10000.0,flat,1.0
38.0,10000.0,flat,0.5
39.0,10000.0,flat,0.1
40.0,10000.0,peaky,1.0
41.0,10000.0,peaky,0.5
42.0,10000.0,peaky,0.1
43.0,10000.0,neg,1.0
44.0,10000.0,neg,0.5
45.0,10000.0,neg,0.1
